id,required,filename
1,no,
2,no,
3,no,
4,yes,source_file.txt
5,no,
6,no,
7,no,
8,yes,source_file.txt
9,no,
10,no,
11,no,
12,yes,/dev/zero
13,no,
14,yes,file1.txt
14,yes,file2.txt
15,no,
16,yes,file.txt
17,yes,input_file.txt
18,yes,file1.txt
18,yes,file2.txt
19,yes,file1.txt
19,yes,file2.txt
20,yes,file.txt
21,no,
22,no,
23,no,
24,no,
25,no,
26,no,
27,yes,/dev/zero
28,no,
29,yes,file1.txt
29,yes,file2.txt
29,yes,file3.txt
30,yes,file.txt
31,yes,input_file.txt
32,yes,file1.txt
32,yes,file2.txt
33,yes,file.txt
34,yes,file.txt
35,yes,file.txt
36,yes,file1.txt
36,yes,file2.txt
37,yes,file.hex
38,yes,file.txt
39,yes,file.b64
40,no,
41,no,
42,yes,file.txt
43,yes,file.txt
44,yes,file.txt
45,no,
46,yes,input_file.txt
47,yes,input_file.txt